name,refcount
gir1.2-accountsservice-1.0,61
libaccountsservice-dev,2
libpolkit-gobject-1-dev,6
gir1.2-polkit-1.0,66
libaccountsservice-doc,1
acct,3
ace-gperf,1
libace-7.0.8,37
ace-netsvcs,1
libnetsvcs-7.0.8,3
libace-dev,16
libace-doc,1
libace-flreactor-7.0.8,2
libfltk1.3,164
libace-flreactor-dev,1
libfltk1.3-dev,10
libfltk-cairo1.3,11
libfltk-forms1.3,14
libfltk-gl1.3,116
libfltk-images1.3,44
libace-foxreactor-7.0.8,2
libfox-1.6-0,9
libace-foxreactor-dev,1
libfox-1.6-dev,2
libgl1-mesa-dev,84
libglu1-mesa-dev,351
libtiff5-dev,9
libcups2-dev,6
libcupsimage2-dev,6
libcupsimage2,11
libace-htbp-7.0.8,2
libace-htbp-dev,1
libace-inet-7.0.8,4
libace-inet-dev,2
libace-inet-ssl-7.0.8,2
libace-ssl-7.0.8,4
libace-inet-ssl-dev,1
libace-ssl-dev,2
libssl-dev,389
libace-rmcast-7.0.8,2
libace-rmcast-dev,1
libace-tkreactor-7.0.8,2
libace-tkreactor-dev,1
tk-dev,13
tk8.6-dev,18
libxss-dev,42
x11proto-scrnsaver-dev,43
tcl8.6-dev,30
tcl8.6,263
tk8.6,190
tk,177
tcl,234
tcl-dev,23
libace-tmcast-7.0.8,2
libace-tmcast-dev,1
libace-xml-utils-7.0.8,2
libxerces-c3.2,467
libace-xml-utils-dev,1
libxerces-c-dev,24
libace-xtreactor-7.0.8,2
libace-xtreactor-dev,1
libxt-dev,90
libacexml-7.0.8,2
libacexml-dev,1
libkokyu-7.0.8,2
libkokyu-dev,1
libnetsvcs-dev,1
mpc-ace,1
elpa-ace-link,1
elpa-avy,16
ace-of-penguins,1
elpa-ace-popup-menu,1
elpa-avy-menu,3
elpa-ace-window,8
acedb-other,1
acedb-other-belvu,1
belvu,2
libgbtools0,7
libjsoncpp25,441
acedb-other-dotter,1
dotter,2
r-cran-acepack,24
aces3,1
aces3-data,2
acheck,1
acheck-rules,2
libconfig-general-perl,35
libterm-size-perl,7
achilles,1
ack,2
libfile-next-perl,11
libacl1-dev,8
libattr1-dev,11
libattr1,61
acl2,6
acl2-books,1
acl2-books-certs,2
acl2-books-source,2
acl2-doc,1
acl2-infix,1
acl2-infix-source,1
acl2-source,1
elpa-acl2,1
emacs-gtk,97
emacs-bin-common,106
emacs-common,109
emacs-el,109
install-info,129
libgccjit0,109
libm17n-0,132
m17n-db,134
libotf1,136
aclock.app,1
gnustep-back0.29,66
gnustep-back0.29-cairo,67
gnustep-back-common,69
gnustep-base-runtime,108
gnustep-base-common,111
gnustep-common,113
libgnustep-base1.28,109
libobjc4,196
libgc1,344
gnustep-gui-runtime,73
gnustep-gui-common,75
libflite1,302
libgnustep-gui0.29,74
libicns1,77
libmagickcore-6.q16-6,265
libfftw3-double3,807
liblqr-1-0,277
imagemagick-6-common,282
libpocketsphinx3,243
libsphinxbase3,248
acm,1
acme,1
acme-tiny,2
acmetool,1
aconnectgui,1
libfltk1.1,8
node-debbundle-acorn,1
acorn-fdisk,1
acpi,3
acpi-call-dkms,1
dkms,41
kmod,259
acpi-override-initramfs,1
initramfs-tools-core,67
klibc-utils,68
libklibc,70
cpio,150
udev,593
coreutils,101
logsave,397
acpi-fakekey,1
acpi-support,5
acpi-support-base,6
acpid,7
runit-helper,84
x11-xserver-utils,82
libxmuu1,239
acpica-tools,2
kacpimon,1
acpitail,1
libacpi0,4
acpitool,1
acr,1
libacsccid1,1
libusb-1.0-0,1243
python3-actdiag,2
python3-blockdiag,10
python3-funcparserlib,12
python3-pil,504
mime-support,507
mailcap,511
libimagequant0,516
libraqm0,507
python3-webcolors,12
python3-docutils,682
docutils-common,683
python3-roman,683
python3-reportlab,83
python3-reportlab-accel,84
actiona,1
libopencv-core406,241
libtbb12,410
libtbbmalloc2,411
libtbbbind-2-5,411
libopencv-imgproc406,225
libqt5multimedia5,318
libqt5multimediawidgets5,86
libqt5script5,135
libqt5scripttools5,91
libqt5sql5,955
libqt5texttospeech5,665
libqt5x11extras5,875
libqt5xmlpatterns5,96
activemq,1
