name,refcount
libmaven-javadoc-plugin-java,1708
libxom-java,1709
libjdom2-java,1708
libisorelax-java,1708
libjettison-java,1708
libwoodstox-java,1708
libknopflerfish-osgi-framework-java,1708
libmaven-compiler-plugin-java,1708
libmsv-java,1708
librelaxng-datatype-java,1708
libstax2-api-java,1708
libjoda-time-java,1708
libjoda-convert-java,1708
libmaven-exec-plugin-java,1708
libkxml2-java,1708
libxpp3-java,1708
locales-all,3970
testng,1708
libbsh-java,1708
libguice-java,1708
groovy-doc,1708
libantlr-java,1708
libatinject-jsr330-api-java,1709
libclassycle-java,1708
libcommons-compress-java,1708
libcommons-lang3-java,1708
libdd-plist-java,1708
libfindbugs-java,1708
libgoogle-gson-java,1708
libguava-java,1708
libhttpcore-java,1708
libjansi1-java,1708
libjatl-java,1708
libjcifs-java,1708
libjcip-annotations-java,1708
libjgit-java,1708
libjna-java,1708
libffi-dev,4955
libjs-jquery,3603
libkryo-java,1708
libminlog-java,1708
libobjenesis-java,1708
libreflectasm-java,1708
libmaven-assembly-plugin-java,1708
junit4 <!nocheck>,1708
liblogback-java,1708
libmaven-resolver-java,1708
libnative-platform-java,1708
libnekohtml-java,1708
libplexus-component-annotations-java,1708
libplexus-container-default-java,1708
libplexus-interpolation-java,1708
libplexus-utils-java,1708
libpolyglot-maven-java,1708
libsimple-http-java,1708
libspock-java,1708
libwagon-file-java,1708
libwagon-http-java,1708
libxbean-reflect-java,1708
libeasymock-java,1708
libjmock-java,1708
libxmlunit-java,1708
libactivation-java,1708
libcommons-net-java,1708
libmaven-source-plugin-java,1708
libmail-java,1708
libjdepend-java,1708
texlive-latex-extra,1951
abcm2ps,1
libfreetype6-dev,912
libpango1.0-dev,910
abcmidi,1
abe,1
libsdl-image1.2-dev,116
libxi-dev,165
abego-treelayout,1
abgate,1
qttools5-dev-tools,354
libgtkmm-2.4-dev,27
lv2-dev,43
abi-compliance-checker,3
abi-dumper,1
abi-monitor,1
abi-tracker,1
abicheck,1
abind,1
r-base-dev,1300
dh-r,1291
abinit,1
liblapack-dev,143
graphviz,235
tk-dev,298
tcl-dev,344
libgd-dev,339
guile-3.0-dev,294
lua5.2,244
libreadline-dev,3068
libtool-bin,333
liblua5.2-dev,270
ruby [!ia64],235
ruby-dev (>= 1,235
libargon2-dev,250
python3-dev,2565
libcairo2-dev,720
d-shlibs,339
shellcheck <!nocheck>,344
libgtk2.0-dev,612
libgts-dev,241
libann-dev,240
librsvg2-dev,789
markdown,154
libfftw3-dev,677
libhdf5-dev,120
libnetcdf-dev,55
libnetcdff-dev,7
libxc-dev,9
mpi-default-dev,124
python3-numpy,465
python3-pandas,77
python3-yaml,186
texlive-fonts-recommended,1899
texlive-extra-utils,41
texlive-pstricks,8
texlive-publishers,3
texlive-luatex,6
abiword,1
dh-sequence-gir,158
libasio-dev,13
libebook1.2-dev,11
libenchant-2-dev,33
libgcrypt20-dev,224
libgirepository1.0-dev,365
libgoffice-0.10-dev,4
libical-dev,24
liblink-grammar-dev,1
libloudmouth1-dev,4
libots-dev,1
librdf0-dev,11
librevenge-dev,21
libtidy-dev,13
libtool-bin <!nocheck>,3
libwmf-dev,491
libwpd-dev,5
libwpg-dev,5
libwps-dev,4
libwv-dev,1
libxslt-dev,1730
valgrind [amd64 arm64 armhf i386 mips mips64el powerpc ppc64el s390x] <!nocheck>,1
ableton-link,1
catch <!nocheck>,2
abntex,1
abook,1
libncursesw5-dev,2093
libreadline6-dev,16
abootimg,1
libblkid-dev,137
abpoa,1
cython3,271
graphviz <!nocheck>,4
libsimde-dev,49
abr2gbr,1
abs-guide,1
abseil,1
googletest (>= 1.12) [!mipsel !ppc64] <!nocheck>,1
abx,1
portaudio19-dev,65
abydos,1
dh-sequence-python3,2771
python3-deprecation,4
python3-lzss <!nocheck>,1
python3-nltk <!nocheck>,1
python3-paq <!nocheck>,1
python3-sphinx-rtd-theme <!nodoc>,92
python3-sphinxcontrib.bibtex <!nodoc>,3
python3-syllabipy <!nocheck>,1
sphinx <!nodoc>,5
abyss,1
libboost-graph-dev,16
libopenmpi-dev,36
libsparsehash-dev,11
libtext-multimarkdown-perl <!nodoc>,1
accel-config,1
asciidoc,118
libkeyutils-dev,15
xmlto,2134
docbook-xml,3965
docbook-xsl,3940
docbook5-xml,3942
libxml2-utils,4100
sgml-base,2146
xsltproc,4092
accerciser,1
dh-sequence-gnome,507
appstream-util,53
access-modifier-checker,1
libannotation-indexer-java,2
libfindbugs-annotations-java,19
libmaven-scm-java,3
libmetainf-services-java,2
accessodf,1
libridl-java,1
libjurt-java,1
libjuh-java,1
libunoil-java,1
accounts-qml-module,1
dbus-test-runner,23
mate-common,67
intltool,523
gnome-pkg-tools,626
xvfb,257
libdbus-glib-1-dev,103
dbus,69
libapparmor-dev [linux-any],74
libaudit-dev [linux-any],89
libcap-ng-dev [linux-any],78
libglib2.0-dev <!nocheck> <!noinsttest>,69
libnss-wrapper <!nocheck>,74
libselinux1-dev [linux-any],1946
libsystemd-dev [linux-any],184
valgrind-if-available,84
valgrind [amd64 arm64 armhf i386 mips64el ppc64el s390x powerpc ppc64],84
xml-core,126
xmlto <!nodoc>,74
python3-dbusmock,32
procps,1906
dejagnu,1941
libnuma-dev [amd64 i386 ia64 mips mipsel mips64 mips64el powerpc ppc64el],1906
libsystemd-dev (>= 209) [linux-any],1910
libaccounts-qt5-dev,9
libsignon-qt5-dev,8
qml-module-qtquick2,38
qtdeclarative5-dev-tools,30
qtchooser,79
qtbase5-dev (>= 5.9.2+dfsg-3~) <!stage1 !nocheck>,79
qttools5-dev-tools <!cross>,1
xauth,239
libxmuu-dev,269
cmdtest <!nocheck>,239
accountsservice,1
gobject-introspection,246
python3-debian,287
python3-distutils,2068
gtk-doc-tools,393
python3-mako,276
python3-markdown,300
libpolkit-gobject-1-dev,50
polkitd,16
python3-dbus <!nocheck>,17
python3-dbusmock <!nocheck>,20
valac,245
acct,1
ace,1
libfltk1.3-dev,59
libfox-1.6-dev,5
libxerces-c-dev,29
ace-link,1
ace-of-penguins,1
ace-popup-menu,1
ace-window,1
acedb,1
libtirpc-dev,50
csh,9
bmake,21
libfl-dev,71
acepack,1
aces3,1
mpi-default-bin,45
libblas-dev,133
acheck,1
acheck-rules,1
achilles,1
ack,1
perl-doc <!nocheck>,1
less <!nocheck>,27
libfile-next-perl,2
libtest-differences-perl,8
libtest-pod-perl,120
sensible-utils <!nocheck>,1
acl,6
libattr1-dev,39
acl2,1
gcl,6
libeditreadline-dev,18
tk8.6-dev,21
time,1782
aclock.app,1
libgnustep-gui-dev,48
imagemagick,470
g++,542
liblqr-1-0-dev,472
libdjvulibre-dev,482
libexif-dev,521
libopenexr-dev,501
libheif-dev,492
librsvg2-bin,517
acm,1
libmotif-dev,41
acme,3
acme-tiny,2
python3-setuptools-scm,343
acmetool,1
dh-golang,1828
libmodule-install-perl,2108
aconnectgui,1
libfltk1.1-dev,6
acorn,1
dh-sequence-nodejs,2801
docbook2x <!nodoc>,3
jdupes,1931
mocha <!nocheck>,2090
node-ast-types,380
node-babel7,380
eslint,381
cmark-gfm <!nodoc>,1740
jq,1726
libonig-dev,1735
rake,1890
gem2deb,2213
dctrl-tools <!nocheck>,2213
devscripts <!nocheck>,2214
python3-debian <!nocheck>,3713
rake <!nocheck>,2213
ruby,2261
ruby-all-dev,2216
ruby-mocha <!nocheck>,2213
ruby-rspec <!nocheck>,2213
ruby-shoulda-context <!nocheck>,2213
ruby-test-unit <!nocheck>,2213
ruby-bundler,1891
ruby-minitest,1890
ruby-hoe,1890
ruby-ronn,1726
ruby-contest,1727
ruby-json,1726
ruby-test-unit,1726
ruby-power-assert,1726
ruby-byebug,1726
pry,1726
gist,1726
locales,1806
ruby-rspec,1726
coderay,1726
ruby-shoulda-context,1726
ruby-mocha,1726
ruby-introspection,1726
ruby-blankslate,1726
ruby-instantiator,1726
ruby-metaclass,1727
ruby-redcarpet,1726
rake-compiler,1726
yard,1726
